task_id,patient_id,phase,z_index,slice_id,batch_index,branch_index,test_fraction,paper_lambda,balanced_entropy,weight
23,A1K2P5,ED,11,A1K2P5_ED_slice011,12,1,0.2,0.8,0.02262103371322155,0.20733612775802612
23,A1K2P5,ED,11,A1K2P5_ED_slice011,12,2,0.4,0.6,0.05778845027089119,0.1354270875453949
23,A1K2P5,ED,11,A1K2P5_ED_slice011,12,3,0.6,0.4,0.031746380031108856,0.1856430023908615
23,A1K2P5,ED,11,A1K2P5_ED_slice011,12,4,0.8,0.19999999999999996,0.027772260829806328,0.19479650259017944
23,A1K2P5,ED,11,A1K2P5_ED_slice011,12,5,1.0,0.0,0.025380080565810204,0.20052257180213928
23,A1K2P5,ED,12,A1K2P5_ED_slice012,13,0,0.0,1.0,1.0253020531856301e-18,0.1864231824874878
23,A1K2P5,ED,12,A1K2P5_ED_slice012,13,1,0.2,0.8,5.9124248022748625e-18,0.1864231675863266
23,A1K2P5,ED,12,A1K2P5_ED_slice012,13,2,0.4,0.6,8.86790556216049e-17,0.18642286956310272
23,A1K2P5,ED,12,A1K2P5_ED_slice012,13,3,0.6,0.4,2.2753490308254423e-15,0.18641534447669983
23,A1K2P5,ED,12,A1K2P5_ED_slice012,13,4,0.8,0.19999999999999996,2.0005554829914673e-13,0.1857340931892395
23,A1K2P5,ED,12,A1K2P5_ED_slice012,13,5,1.0,0.0,5.402089539585653e-11,0.06858126819133759
23,A1K2P5,ED,13,A1K2P5_ED_slice013,14,0,0.0,1.0,2.7915787265390634e-17,0.18633601069450378
23,A1K2P5,ED,13,A1K2P5_ED_slice013,14,1,0.2,0.8,1.1336442466229015e-17,0.18633675575256348
23,A1K2P5,ED,13,A1K2P5_ED_slice013,14,2,0.4,0.6,3.490881848602823e-17,0.18633568286895752
23,A1K2P5,ED,13,A1K2P5_ED_slice013,14,3,0.6,0.4,1.9140729087394526e-16,0.1863284856081009
23,A1K2P5,ED,13,A1K2P5_ED_slice013,14,4,0.8,0.19999999999999996,4.860614711557024e-15,0.1861136257648468
23,A1K2P5,ED,13,A1K2P5_ED_slice013,14,5,1.0,0.0,4.047263826162384e-12,0.06854946911334991
23,A1K2P5,ES,0,A1K2P5_ES_slice000,15,0,0.0,1.0,4.7802101719046364e-18,0.18629339337348938
23,A1K2P5,ES,0,A1K2P5_ES_slice000,15,1,0.2,0.8,8.758394293683983e-18,0.18629339337348938
23,A1K2P5,ES,0,A1K2P5_ES_slice000,15,2,0.4,0.6,2.710460432588438e-16,0.18629339337348938
23,A1K2P5,ES,0,A1K2P5_ES_slice000,15,3,0.6,0.4,1.1515927913954144e-13,0.18629339337348938
23,A1K2P5,ES,0,A1K2P5_ES_slice000,15,4,0.8,0.19999999999999996,1.0327094202011722e-07,0.18629296123981476
23,A1K2P5,ES,0,A1K2P5_ES_slice000,15,5,1.0,0.0,0.045641303062438965,0.0685335174202919
23,A1K2P5,ES,1,A1K2P5_ES_slice001,16,0,0.0,1.0,4.4891981841946316e-13,0.18629346787929535
23,A1K2P5,ES,1,A1K2P5_ES_slice001,16,1,0.2,0.8,1.9562608098103867e-13,0.18629346787929535
23,A1K2P5,ES,1,A1K2P5_ES_slice001,16,2,0.4,0.6,1.0729272152806488e-13,0.18629346787929535
23,A1K2P5,ES,1,A1K2P5_ES_slice001,16,3,0.6,0.4,6.995566452505653e-12,0.18629346787929535
23,A1K2P5,ES,1,A1K2P5_ES_slice001,16,4,0.8,0.19999999999999996,8.877575510268798e-07,0.18629257380962372
23,A1K2P5,ES,1,A1K2P5_ES_slice001,16,5,1.0,0.0,0.18312327563762665,0.06853354722261429
23,A1K2P5,ES,2,A1K2P5_ES_slice002,17,0,0.0,1.0,0.022748205810785294,0.19754254817962646
23,A1K2P5,ES,2,A1K2P5_ES_slice002,17,1,0.2,0.8,0.025420108810067177,0.09525732696056366
23,A1K2P5,ES,2,A1K2P5_ES_slice002,17,2,0.4,0.6,0.024779904633760452,0.11344791948795319
23,A1K2P5,ES,2,A1K2P5_ES_slice002,17,3,0.6,0.4,0.025237251073122025,0.10013287514448166
23,A1K2P5,ES,2,A1K2P5_ES_slice002,17,4,0.8,0.19999999999999996,0.02211708575487137,0.2346831113100052
23,A1K2P5,ES,2,A1K2P5_ES_slice002,17,5,1.0,0.0,0.021756816655397415,0.25893622636795044
23,A1K2P5,ES,3,A1K2P5_ES_slice003,18,0,0.0,1.0,0.04526872932910919,0.20072564482688904
